ID,Major,Year,M_GPA,F_GPA,COMBINED_GPA,M_EN,F_EN,C_EN
4273,Computer Science,2014,2.9,3.24,2.937777777777778,216,27,243
4297,Computer Science,2013,2.97,3.23,2.988808510638298,218,17,235
4298,Computer Science,2012,2.87,3.37,2.9107725321888416,214,19,233
4299,Computer Science,2009,2.83,3.09,2.857248908296943,205,24,229
4318,Computer Science,2014,3.19,3.17,3.1872563176895308,478,76,554
4343,Computer Science,2014,3.14,3.16,3.143507362784471,616,131,747
4348,Computer Science,2015,2.92,3.37,2.973225806451613,246,33,279
4384,Computer Science,2015,3.06,3.28,3.0859815950920244,1150,154,1304
4402,Computer Science,2012,3.18,3.23,3.186788990825688,942,148,1090
4403,Computer Science,2013,3.21,3.22,3.211672,1041,209,1250
4404,Computer Science,2014,3.28,3.29,3.2818211920529796,1235,275,1510
4405,Computer Science,2015,3.3,3.23,3.285803667745415,1478,376,1854
4430,Computer Science,2011,2.82,3.08,2.8550434782608693,199,31,230
4431,Computer Science,2012,2.78,3.0,2.806640625,225,31,256
4432,Computer Science,2013,2.89,2.66,2.8609090909090913,221,32,253
4433,Computer Science,2014,2.86,3.14,2.9,228,38,266
4449,Computer Science,2015,3.45,3.45,3.4499999999999997,441,200,641
4504,Computer Science,2012,3.22,3.48,3.249058823529412,302,38,340
4505,Computer Science,2013,3.43,3.3,3.4155555555555557,376,47,423
4506,Computer Science,2014,3.33,3.21,3.3151476793248946,623,88,711
4517,Computer Science,2014,3.05,3.14,3.068082191780822,525,132,657
4519,Computer Science,2014,2.54,2.79,2.571609195402299,152,22,174
4547,Computer Science,2010,2.82,2.77,2.8126829268292686,175,30,205
4627,Computer Science,2010,2.88,3.09,2.9039792387543253,256,33,289
4628,Computer Science,2011,2.88,2.98,2.8894076655052263,260,27,287
4629,Computer Science,2012,2.92,2.92,2.92,314,38,352
4630,Computer Science,2013,2.92,3.09,2.9391494252873565,386,49,435
4631,Computer Science,2014,2.97,3.15,2.992964352720451,465,68,533
4632,Computer Science,2015,3.02,3.19,3.0442857142857145,540,90,630
4704,Computer Science,2015,3.03,3.06,3.035498043936202,2714,609,3323
4729,Computer Science,2015,3.423,3.438,3.4247070895522387,475,61,536
4766,Computer Science,2015,2.98,3.311,3.16021778584392,251,300,551
4771,Computer Science,2015,3.0,3.0,3.0,306,61,367
4799,Computer Science,2010,3.09,3.02,3.084814814814815,50,4,54
4800,Computer Science,2011,3.01,3.77,3.0598360655737706,57,4,61
4803,Computer Science,2013,3.06,2.92,3.053,57,3,60
4804,Computer Science,2014,3.1,3.26,3.1127999999999996,92,8,100
4850,Computer Science,2015,3.297,3.412,3.324658227848101,300,95,395
4851,Computer Science,2015,3.33,3.345,3.3326934097421206,859,188,1047
4852,Computer Science,2016,3.14,3.44,3.195985915492958,231,53,284
4857,Computer Science,2016,2.82,3.38,2.939344262295082,48,13,61
4858,Computer Science,2015,2.48,2.82,2.5243478260869567,40,6,46
4872,Computer Science,2015,3.3,3.2,3.2866666666666666,247,38,285
4878,Computer Science,2015,3.06,3.3,3.0986813186813187,229,44,273
4885,Computer Science,2016,3.42,3.4,3.4134032983508242,447,220,667
4902,Computer Science,2016,4.03,4.03,4.03,527,227,754
4904,Computer Science,2011,3.19,3.17,3.188117386489479,818,85,903
4905,Computer Science,2012,3.18,3.16,3.1783284742468414,943,86,1029
4906,Computer Science,2013,3.3,3.16,3.2837681159420287,976,128,1104
4907,Computer Science,2014,3.38,3.35,3.374995744680851,979,196,1175
4908,Computer Science,2015,3.45,3.37,3.434480686695279,939,226,1165
4932,Computer Science,2015,2.95,3.3,3.0125912408759126,225,49,274
4933,Computer Science,2016,3.04,3.12,3.055250836120402,242,57,299
4936,Computer Science,2016,3.2,3.2,3.1999999999999997,1620,487,2107
4996,Computer Science,2015,2.89,3.32,2.942121212121213,406,56,462
5216,Computer Science,2014,2.03,2.35,2.0761691542288556,172,29,201
5217,Computer Science,2015,2.15,3.15,2.273552123552123,227,32,259
5234,Computer Science,2015,3.1,3.36,3.1304504504504505,196,26,222
5261,Computer Science,2015,2.9,2.94,2.9065000000000003,603,117,720
5270,Computer Science,2015,3.19,3.32,3.208590130916415,851,142,993
5292,Computer Science,2011,2.71,3.07,2.7534117647058824,299,41,340
5293,Computer Science,2012,2.75,2.88,2.7641225626740944,320,39,359
5294,Computer Science,2013,2.75,2.78,2.753563714902808,408,55,463
5295,Computer Science,2014,2.8,2.7,2.787403100775194,451,65,516
5296,Computer Science,2015,2.82,2.93,2.83445434298441,390,59,449
5336,Computer Science,2013,2.71,2.94,2.7356928034371646,827,104,931
