year,major,institution,m_attrition,f_attrition,t_attrition,participant,degrees,f_en,m_en,c_en
2006,CS and/or Eng Multiple Majors (data submitted in aggregation),456,0.0,0.0,0.0,"Extension Services, Academic Alliance",Bachelor's and master's degrees only,22,88,110
2007,CS and/or Eng Multiple Majors (data submitted in aggregation),456,0.0,0.0,0.0,"Extension Services, Academic Alliance",Bachelor's and master's degrees only,22,75,97
2008,CS and/or Eng Multiple Majors (data submitted in aggregation),456,0.0,0.0,0.0,"Extension Services, Academic Alliance",Bachelor's and master's degrees only,16,55,71
2009,CS and/or Eng Multiple Majors (data submitted in aggregation),456,0.05555555555555555,0.0,0.034482758620689655,"Extension Services, Academic Alliance",Bachelor's and master's degrees only,11,18,29
2010,CS and/or Eng Multiple Majors (data submitted in aggregation),456,0.034482758620689655,0.0,0.022727272727272728,"Extension Services, Academic Alliance",Bachelor's and master's degrees only,15,29,44
2011,CS and/or Eng Multiple Majors (data submitted in aggregation),456,0.06666666666666667,0.2222222222222222,0.10256410256410256,"Extension Services, Academic Alliance",Bachelor's and master's degrees only,9,30,39
2006,CS and/or Eng Multiple Majors (data submitted in aggregation),128,0.125,0.0,0.11538461538461539,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",34,408,442
2007,CS and/or Eng Multiple Majors (data submitted in aggregation),128,0.10098522167487685,0.03571428571428571,0.0967741935483871,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",28,406,434
2008,CS and/or Eng Multiple Majors (data submitted in aggregation),128,0.18032786885245902,0.043478260869565216,0.17223650385604114,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",23,366,389
2009,CS and/or Eng Multiple Majors (data submitted in aggregation),128,0.21657754010695188,0.15789473684210525,0.21374045801526717,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",19,374,393
2011,CS and/or Eng Multiple Majors (data submitted in aggregation),88,0.002098635886673662,0.0,0.00186219739292365,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",121,953,1074
2012,CS and/or Eng Multiple Majors (data submitted in aggregation),88,0.00099601593625498,0.0,0.000881057268722467,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",131,1004,1135
2013,CS and/or Eng Multiple Majors (data submitted in aggregation),88,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",144,1058,1202
2014,CS and/or Eng Multiple Majors (data submitted in aggregation),88,0.0008944543828264759,0.0,0.0007849293563579278,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",156,1118,1274
2013,CS and/or Eng Multiple Majors (data submitted in aggregation),430,0.07279411764705883,0.04054054054054054,0.06702898550724638,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",296,1360,1656
2012,CS and/or Eng Multiple Majors (data submitted in aggregation),430,0.07482305358948432,0.07441860465116279,0.07475083056478406,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",215,989,1204
2011,CS and/or Eng Multiple Majors (data submitted in aggregation),430,0.0825,0.08024691358024691,0.08212058212058213,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",162,800,962
2010,CS and/or Eng Multiple Majors (data submitted in aggregation),430,0.08602150537634409,0.03676470588235294,0.07750952986022872,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",136,651,787
2009,CS and/or Eng Multiple Majors (data submitted in aggregation),430,0.07734806629834254,0.05263157894736842,0.07366771159874608,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",95,543,638
2008,CS and/or Eng Multiple Majors (data submitted in aggregation),430,0.08061420345489444,0.024691358024691357,0.07308970099667775,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",81,521,602
2007,CS and/or Eng Multiple Majors (data submitted in aggregation),430,0.059726962457337884,0.07142857142857142,0.06140350877192982,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",98,586,684
2006,CS and/or Eng Multiple Majors (data submitted in aggregation),430,0.0818452380952381,0.057692307692307696,0.07860824742268041,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",104,672,776
2005,CS and/or Eng Multiple Majors (data submitted in aggregation),430,0.05623471882640587,0.05185185185185185,0.055613850996852045,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",135,818,953
2004,CS and/or Eng Multiple Majors (data submitted in aggregation),430,0.06976744186046512,0.043478260869565216,0.06531738730450783,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",184,903,1087
2012,CS and/or Eng Multiple Majors (data submitted in aggregation),456,0.06896551724137931,0.2,0.10256410256410256,"Extension Services, Academic Alliance",Bachelor's and master's degrees only,10,29,39
2013,CS and/or Eng Multiple Majors (data submitted in aggregation),456,0.6666666666666666,0.25,0.5217391304347826,"Extension Services, Academic Alliance",Bachelor's and master's degrees only,8,15,23
2013,CS and/or Eng Multiple Majors (data submitted in aggregation),370,0.4158415841584158,0.16279069767441862,0.37142857142857144,"Extension Services, Academic Alliance",Bachelor's and master's degrees only,43,202,245
2012,CS and/or Eng Multiple Majors (data submitted in aggregation),370,0.185,0.34,0.216,"Extension Services, Academic Alliance",Bachelor's and master's degrees only,50,200,250
2011,CS and/or Eng Multiple Majors (data submitted in aggregation),370,0.4025974025974026,0.40540540540540543,0.4031413612565445,"Extension Services, Academic Alliance",Bachelor's and master's degrees only,37,154,191
2010,CS and/or Eng Multiple Majors (data submitted in aggregation),370,0.24475524475524477,0.3548387096774194,0.26436781609195403,"Extension Services, Academic Alliance",Bachelor's and master's degrees only,31,143,174
2004,CS and/or Eng Multiple Majors (data submitted in aggregation),68,0.07247437774524158,0.03345724907063197,0.06605504587155964,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",269,1366,1635
2005,CS and/or Eng Multiple Majors (data submitted in aggregation),68,0.0989492119089317,0.06857142857142857,0.09491268033409264,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",175,1142,1317
2006,CS and/or Eng Multiple Majors (data submitted in aggregation),68,0.08823529411764706,0.058333333333333334,0.0846613545816733,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",120,884,1004
2007,CS and/or Eng Multiple Majors (data submitted in aggregation),68,0.10756972111553785,0.11224489795918367,0.10810810810810811,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",98,753,851
2008,CS and/or Eng Multiple Majors (data submitted in aggregation),68,0.07715582450832073,0.08080808080808081,0.07763157894736843,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",99,661,760
2009,CS and/or Eng Multiple Majors (data submitted in aggregation),68,0.0970724191063174,0.1111111111111111,0.09921671018276762,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",117,649,766
2010,CS and/or Eng Multiple Majors (data submitted in aggregation),68,0.11544461778471139,0.07575757575757576,0.10866752910737387,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",132,641,773
2011,CS and/or Eng Multiple Majors (data submitted in aggregation),68,0.08422664624808576,0.06578947368421052,0.08074534161490683,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",152,653,805
2012,CS and/or Eng Multiple Majors (data submitted in aggregation),68,0.10158311345646438,0.07853403141361257,0.09694415173867228,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",191,758,949
2013,CS and/or Eng Multiple Majors (data submitted in aggregation),68,0.12486187845303867,0.11153846153846154,0.12188841201716738,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",260,905,1165
2014,CS and/or Eng Multiple Majors (data submitted in aggregation),68,0.1492063492063492,0.12694300518134716,0.14398541919805588,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",386,1260,1646
2015,CS and/or Eng Multiple Majors (data submitted in aggregation),68,0.09050911376492772,0.05063291139240506,0.08135593220338982,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",474,1591,2065
2010,CS and/or Eng Multiple Majors (data submitted in aggregation),110,0.09881422924901186,0.0821917808219178,0.09671848013816926,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",73,506,579
2011,CS and/or Eng Multiple Majors (data submitted in aggregation),110,0.10869565217391304,0.0625,0.10324483775811209,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",80,598,678
2012,CS and/or Eng Multiple Majors (data submitted in aggregation),110,0.10625909752547306,0.054945054945054944,0.10025706940874037,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",91,687,778
2013,CS and/or Eng Multiple Majors (data submitted in aggregation),110,0.10133333333333333,0.061224489795918366,0.09669811320754718,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",98,750,848
2014,CS and/or Eng Multiple Majors (data submitted in aggregation),110,0.05562273276904474,0.009174311926605505,0.050213675213675216,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",109,827,936
2015,CS and/or Eng Multiple Majors (data submitted in aggregation),110,0.08433734939759036,0.09302325581395349,0.08533333333333333,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",86,664,750
2014,CS and/or Eng Multiple Majors (data submitted in aggregation),370,0.16744186046511628,0.12195121951219512,0.16015625,"Extension Services, Academic Alliance",Bachelor's and master's degrees only,41,215,256
2015,CS and/or Eng Multiple Majors (data submitted in aggregation),370,0.2303370786516854,0.22857142857142856,0.2300469483568075,"Extension Services, Academic Alliance",Bachelor's and master's degrees only,35,178,213
2011,CS and/or Eng Multiple Majors (data submitted in aggregation),205,0.3564356435643564,0.3090909090909091,0.33974358974358976,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",55,101,156
2012,CS and/or Eng Multiple Majors (data submitted in aggregation),205,0.2868217054263566,0.23809523809523808,0.2708333333333333,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",63,129,192
2013,CS and/or Eng Multiple Majors (data submitted in aggregation),205,0.37037037037037035,0.19298245614035087,0.3177083333333333,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",57,135,192
2014,CS and/or Eng Multiple Majors (data submitted in aggregation),205,0.21568627450980393,0.2692307692307692,0.22926829268292684,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",52,153,205
2015,CS and/or Eng Multiple Majors (data submitted in aggregation),205,0.2597402597402597,0.2857142857142857,0.2660098522167488,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",49,154,203
2010,Information Technology,85,0.060790273556231005,0.06521739130434782,0.06155778894472362,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",138,658,796
2011,Information Technology,85,0.08100558659217877,0.08333333333333333,0.08144796380090498,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",168,716,884
2012,Information Technology,85,0.07178841309823678,0.07065217391304347,0.07157464212678936,"Extension Services, Academic Alliance",Bachelor's and master's degrees only,184,794,978
2008,Information Technology,114,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",2,1,3
2005,Information Technology,435,0.1396508728179551,0.13,0.1385809312638581,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",100,802,902
2006,Information Technology,435,0.15021459227467812,0.13580246913580246,0.14871794871794872,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",81,699,780
2007,Information Technology,435,0.20481927710843373,0.07792207792207792,0.19163292847503374,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",77,664,741
2009,Information Technology,361,0.14906832298136646,0.10526315789473684,0.14444444444444443,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",19,161,180
2010,Information Technology,361,0.14782608695652175,0.2777777777777778,0.15725806451612903,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",18,230,248
2011,Information Technology,361,0.16141732283464566,0.2222222222222222,0.16725978647686832,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",27,254,281
2012,Information Technology,361,0.13218390804597702,0.18181818181818182,0.13648293963254593,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",33,348,381
2013,Information Technology,361,0.9273255813953488,1.0,0.935064935064935,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",41,344,385
2013,Information Technology,85,0.08133971291866028,0.0425531914893617,0.07421875,"Extension Services, Academic Alliance",Bachelor's and master's degrees only,188,836,1024
2011,Information Technology,238,0.08235294117647059,0.2,0.09473684210526316,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",10,85,95
2012,Information Technology,238,0.1323529411764706,0.06666666666666667,0.12048192771084337,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",15,68,83
2013,Information Technology,238,0.06666666666666667,0.0,0.05952380952380952,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",9,75,84
2015,Information Technology,216,0.6595744680851063,0.6111111111111112,0.6540880503144654,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",18,141,159
2014,Information Technology,238,0.11666666666666667,0.0,0.1,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",10,60,70
2015,Information Technology,238,0.1,0.21428571428571427,0.11702127659574468,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",14,80,94
2012,Information Technology,249,0.09191176470588236,0.06976744186046512,0.08888888888888889,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",43,272,315
2013,Information Technology,249,0.08058608058608059,0.08163265306122448,0.08074534161490683,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",49,273,322
2014,Information Technology,249,0.07331378299120235,0.09859154929577464,0.07766990291262135,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",71,341,412
2015,Information Technology,249,0.06493506493506493,0.06666666666666667,0.06521739130434782,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",75,385,460
2012,Information Technology,216,0.23636363636363636,0.11538461538461539,0.21323529411764705,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",26,110,136
2013,Information Technology,216,0.2711864406779661,0.09090909090909091,0.24285714285714285,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",22,118,140
2014,Information Technology,216,0.28169014084507044,0.1875,0.2721518987341772,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",16,142,158
2006,Informatics,369,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",36,239,275
2008,Computer Science + X,114,0.2,0.5,0.2857142857142857,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",2,5,7
2005,Computer Science + X,424,0.11428571428571428,0.125,0.11627906976744186,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",8,35,43
2006,Computer Science + X,424,0.09375,0.0,0.08108108108108109,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",5,32,37
2007,Computer Science + X,424,0.09090909090909091,0.0,0.08333333333333333,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",3,33,36
2012,Computer Science + X,64,0.062146892655367235,0.0,0.04059040590405904,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",94,177,271
2013,Computer Science + X,64,0.0410958904109589,0.019801980198019802,0.032388663967611336,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",101,146,247
2014,Computer Science + X,64,0.10077519379844961,0.058823529411764705,0.08225108225108226,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",102,129,231
2015,Computer Science + X,64,0.11666666666666667,0.030303030303030304,0.0776255707762557,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",99,120,219
2011,Computer Science + X,200,0.0223463687150838,0.03125,0.023696682464454975,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",32,179,211
2012,Computer Science + X,200,0.036458333333333336,0.0,0.029166666666666667,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",48,192,240
2013,Computer Science + X,200,0.04526748971193416,0.0,0.035256410256410256,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",69,243,312
2014,Computer Science + X,200,0.02981029810298103,0.01652892561983471,0.026530612244897958,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",121,369,490
2012,Computer Science + X,157,0.056338028169014086,0.18181818181818182,0.07317073170731707,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",11,71,82
2013,Computer Science + X,157,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",20,75,95
2015,Computer Science + X,157,0.2857142857142857,0.3333333333333333,0.3,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",3,7,10
2012,Computer Science + X,112,0.1532258064516129,0.14285714285714285,0.15172413793103448,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",21,124,145
2013,Computer Science + X,112,0.18120805369127516,0.16666666666666666,0.1791907514450867,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",24,149,173
2014,Computer Science + X,112,0.2265193370165746,0.15555555555555556,0.21238938053097345,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",45,181,226
2015,Computer Science + X,112,0.21333333333333335,0.18181818181818182,0.20618556701030927,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",66,225,291
2012,Computer Science + X,216,0.22807017543859648,0.35714285714285715,0.2535211267605634,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",14,57,71
2013,Computer Science + X,216,0.16666666666666666,0.3125,0.19736842105263158,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",16,60,76
2014,Computer Science + X,216,0.30612244897959184,0.38461538461538464,0.3225806451612903,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",13,49,62
2015,Computer Science + X,216,0.3333333333333333,0.375,0.34210526315789475,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",16,60,76
2005,Information Science,424,0.13953488372093023,0.08571428571428572,0.12804878048780488,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",35,129,164
2006,Information Science,424,0.17073170731707318,0.2,0.17567567567567569,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",25,123,148
2007,Information Science,424,0.07207207207207207,0.125,0.08148148148148149,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",24,111,135
2011,Information Science,200,0.02702702702702703,0.0,0.018518518518518517,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",17,37,54
2012,Information Science,200,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",24,40,64
2013,Information Science,200,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",31,33,64
2014,Information Science,200,0.08333333333333333,0.0,0.04,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",39,36,75
2014,Information Science,6,0.041935483870967745,0.057692307692307696,0.04419889502762431,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",52,310,362
2015,Information Science,6,0.048109965635738834,0.041666666666666664,0.0471976401179941,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",48,291,339
2009,Computer Information Systems,13,0.125,0.13333333333333333,0.12643678160919541,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",30,144,174
2010,Computer Information Systems,13,0.13836477987421383,0.1388888888888889,0.13846153846153847,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",36,159,195
2011,Computer Information Systems,13,0.1457286432160804,0.3142857142857143,0.17094017094017094,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",35,199,234
2012,Computer Information Systems,13,0.7554585152838428,0.6229508196721312,0.7275862068965517,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",61,229,290
2015,Computer Information Systems,216,0.578125,0.6153846153846154,0.5844155844155844,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",13,64,77
2012,Computer Information Systems,216,0.23076923076923078,0.2777777777777778,0.23958333333333334,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",18,78,96
2013,Computer Information Systems,216,0.18518518518518517,0.25,0.1958762886597938,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",16,81,97
2014,Computer Information Systems,216,0.2647058823529412,0.35714285714285715,0.2804878048780488,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",14,68,82
2006,Computer Science,54,0.1895424836601307,0.0975609756097561,0.182,"Extension Services, Academic Alliance",Bachelor's and master's degrees only,41,459,500
2007,Computer Science,54,0.1812366737739872,0.09090909090909091,0.17348927875243664,"Extension Services, Academic Alliance",Bachelor's and master's degrees only,44,469,513
2008,Computer Science,54,0.1973392461197339,0.11627906976744186,0.1902834008097166,"Extension Services, Academic Alliance",Bachelor's and master's degrees only,43,451,494
2009,Computer Science,54,0.1791767554479419,0.07142857142857142,0.16923076923076924,"Extension Services, Academic Alliance",Bachelor's and master's degrees only,42,413,455
2005,Computer Science,114,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",3,5,8
2006,Computer Science,114,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",2,7,9
2007,Computer Science,114,1.0,0.0,0.7777777777777778,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",2,7,9
2008,Computer Science,114,0.125,0.0,0.11627906976744186,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",3,40,43
2007,Computer Science,487,0.06266318537859007,0.11627906976744186,0.06807511737089202,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",43,383,426
2008,Computer Science,487,0.013020833333333334,0.0,0.01182033096926714,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",39,384,423
2009,Computer Science,487,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",28,359,387
2010,Computer Science,487,0.00804289544235925,0.0,0.007407407407407408,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",32,373,405
2011,Computer Science,487,0.002631578947368421,0.025,0.004761904761904762,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",40,380,420
2005,Computer Science,29,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",88,157,245
2006,Computer Science,29,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",66,120,186
2007,Computer Science,29,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",59,125,184
2005,Computer Science,435,0.08814589665653495,0.05555555555555555,0.08645533141210375,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",18,329,347
2006,Computer Science,435,0.33962264150943394,0.1,0.3254437869822485,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",20,318,338
2007,Computer Science,435,0.14345991561181434,0.17647058823529413,0.14496644295302014,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",34,711,745
2004,Computer Science,72,0.10714285714285714,0.07692307692307693,0.10431654676258993,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",26,252,278
2005,Computer Science,72,0.107981220657277,0.058823529411764705,0.10434782608695652,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",17,213,230
2006,Computer Science,72,0.06622516556291391,0.0,0.0625,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",9,151,160
2007,Computer Science,72,0.10569105691056911,0.25,0.11450381679389313,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",8,123,131
2008,Computer Science,72,0.09090909090909091,0.15384615384615385,0.09655172413793103,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",13,132,145
2009,Computer Science,72,0.07142857142857142,0.0,0.06474820143884892,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",13,126,139
2010,Computer Science,72,0.13043478260869565,0.08333333333333333,0.12598425196850394,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",12,115,127
2011,Computer Science,72,0.12598425196850394,0.1875,0.13286713286713286,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",16,127,143
2012,Computer Science,72,0.08108108108108109,0.11764705882352941,0.08484848484848485,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",17,148,165
2009,Computer Science,13,0.21311475409836064,0.2,0.2111111111111111,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",55,305,360
2010,Computer Science,13,0.11488250652741515,0.13636363636363635,0.11804008908685969,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",66,383,449
2011,Computer Science,13,0.18911917098445596,0.06060606060606061,0.17035398230088494,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",66,386,452
2006,Computer Science,422,0.032432432432432434,0.017857142857142856,0.029045643153526972,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",56,185,241
2007,Computer Science,422,0.028735632183908046,0.037037037037037035,0.03070175438596491,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",54,174,228
2008,Computer Science,422,0.015706806282722512,0.0,0.012096774193548387,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",57,191,248
2009,Computer Science,422,0.01762114537444934,0.014084507042253521,0.016778523489932886,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",71,227,298
2010,Computer Science,422,0.004201680672268907,0.0,0.003236245954692557,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",71,238,309
2004,Computer Science,287,0.03184713375796178,0.03225806451612903,0.031914893617021274,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",31,157,188
2005,Computer Science,287,0.023076923076923078,0.043478260869565216,0.026143790849673203,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",23,130,153
2006,Computer Science,287,0.08411214953271028,0.08333333333333333,0.08396946564885496,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",24,107,131
2007,Computer Science,287,0.06956521739130435,0.05,0.06666666666666667,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",20,115,135
2008,Computer Science,287,0.07547169811320754,0.045454545454545456,0.0703125,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",22,106,128
2009,Computer Science,287,0.03636363636363636,0.03571428571428571,0.036231884057971016,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",28,110,138
2010,Computer Science,287,0.07627118644067797,0.08333333333333333,0.07746478873239436,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",24,118,142
2011,Computer Science,287,0.0975609756097561,0.1,0.09803921568627451,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",30,123,153
2005,Computer Science,462,0.1509433962264151,0.1111111111111111,0.14782608695652175,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",27,318,345
2006,Computer Science,462,0.21691176470588236,0.14285714285714285,0.21160409556313994,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",21,272,293
